	New York	New Jersey	New York City
11/1/1965	73.23033627	55.67756072	88.41702282
12/1/1965	73.63731823	55.93105309	88.57292991
1/1/1966	74.00051792	56.17991915	88.73304116
2/1/1966	74.43366876	56.46366274	88.90160463
3/1/1966	74.87744073	56.74939221	89.07776671
4/1/1966	75.31776092	57.02383162	89.26219541
5/1/1966	75.72893943	57.30255418	89.45608917
6/1/1966	76.15852998	57.56461862	89.65906923
7/1/1966	76.56024098	57.83346555	89.86957313
8/1/1966	77.0253021	58.11696583	90.08686408
9/1/1966	77.46572032	58.38814774	90.31111538
10/1/1966	77.85137869	58.61475528	90.54173156
11/1/1966	78.20119628	58.81834229	90.77417044
12/1/1966	78.44155369	59.00344581	91.00267102
1/1/1967	78.68284679	59.15398396	91.22434986
2/1/1967	78.83788132	59.22835696	91.4384444
3/1/1967	78.95817611	59.31156191	91.65483416
4/1/1967	79.12318708	59.42891801	91.88307765
5/1/1967	79.36992379	59.54675792	92.13042931
6/1/1967	79.67028374	59.65987062	92.40297945
7/1/1967	80.02911149	59.7820195	92.70236479
8/1/1967	80.37779261	59.92788151	93.0249786
9/1/1967	80.74252275	60.08164081	93.36491107
10/1/1967	81.1106063	60.29113824	93.71743212
11/1/1967	81.4934504	60.5084853	94.07614711
12/1/1967	81.90619394	60.70491981	94.43121341
1/1/1968	82.2696704	60.91180655	94.77728265
2/1/1968	82.65219134	61.11348557	95.11210499
3/1/1968	83.01937901	61.29774298	95.43194316
4/1/1968	83.37563407	61.47828234	95.73703268
5/1/1968	83.7112979	61.65180523	96.02978598
6/1/1968	84.05258478	61.8673808	96.31459556
7/1/1968	84.40472131	62.07935868	96.59830443
8/1/1968	84.74062731	62.29948015	96.89018286
9/1/1968	85.07904458	62.51791493	97.19773978
10/1/1968	85.43913315	62.7098599	97.52880128
11/1/1968	85.82861235	62.90173109	97.88758154
12/1/1968	86.23673278	63.09041899	98.27694393
1/1/1969	86.68314648	63.28361432	98.68957721
2/1/1969	87.14699453	63.53618871	99.11297855
3/1/1969	87.60537153	63.82036289	99.5369637
4/1/1969	88.05062802	64.12339788	99.94580838
5/1/1969	88.43166214	64.39740998	100.3222403
6/1/1969	88.76540332	64.63958821	100.6506383
7/1/1969	89.05463257	64.87973384	100.9178139
8/1/1969	89.26250054	65.10544835	101.116218
9/1/1969	89.4113984	65.28744323	101.2431546
10/1/1969	89.52255826	65.45017043	101.2986705
11/1/1969	89.56999417	65.59516415	101.283943
12/1/1969	89.59652744	65.72182063	101.2010635
1/1/1970	89.57842254	65.81992451	101.0532468
2/1/1970	89.47483892	65.94274036	100.8449736
3/1/1970	89.29599695	66.05940254	100.5812804
4/1/1970	89.02885971	66.11251921	100.2696257
5/1/1970	88.6778995	66.15430218	99.91720498
6/1/1970	88.24398589	66.12721982	99.5335493
7/1/1970	87.74996051	66.09672024	99.12717492
8/1/1970	87.25207443	65.9582066	98.70642074
9/1/1970	86.70158001	65.84208854	98.27866833
10/1/1970	86.13096923	65.77116693	97.85046647
11/1/1970	85.63263179	65.70392326	97.42969803
12/1/1970	85.14420423	65.71329922	97.02250591
1/1/1971	84.73086445	65.8101108	96.63479877
2/1/1971	84.30848522	65.86535408	96.26753874
3/1/1971	83.94594262	65.88898103	95.91912959
4/1/1971	83.61277771	65.9198484	95.5904526
5/1/1971	83.36551789	65.95455546	95.28506954
6/1/1971	83.14939937	66.02082138	95.00463621
7/1/1971	82.95762908	66.0860317	94.75204017
8/1/1971	82.7926237	66.25559524	94.52823192
9/1/1971	82.66325989	66.45414666	94.33935281
10/1/1971	82.57794369	66.57807785	94.19004221
11/1/1971	82.56421219	66.73660786	94.08409211
12/1/1971	82.61245703	67.01022285	94.01851452
1/1/1972	82.66998311	67.287969	93.98431877
2/1/1972	82.80809471	67.46796007	93.9721246
3/1/1972	82.96499545	67.57470003	93.97356329
4/1/1972	83.17662231	67.83977163	93.98216082
5/1/1972	83.38205258	68.1157719	93.99493537
6/1/1972	83.59789474	68.43909857	94.01424463
7/1/1972	83.80151657	68.73596212	94.04408028
8/1/1972	84.07129148	68.9273687	94.08883058
9/1/1972	84.47354968	69.11288936	94.14552501
10/1/1972	84.95937298	69.48007709	94.20741323
11/1/1972	85.45791361	69.84139716	94.26188309
12/1/1972	85.94171749	70.17114597	94.29951285
1/1/1973	86.36752088	70.42775222	94.31380793
2/1/1973	86.74130174	70.72888756	94.29951192
3/1/1973	86.96967163	71.0873972	94.25174696
4/1/1973	87.09355813	71.19934392	94.16853144
5/1/1973	87.13116567	71.34023141	94.05035515
6/1/1973	87.11604337	71.42699026	93.90170784
7/1/1973	87.13897752	71.50976961	93.72861998
8/1/1973	87.14758836	71.67952602	93.53584182
9/1/1973	87.18433696	71.8994673	93.32418345
10/1/1973	87.16595358	72.04155397	93.0912277
11/1/1973	87.06390475	72.1722261	92.83577306
12/1/1973	86.90124775	72.18985968	92.55683588
1/1/1974	86.65584232	72.20060277	92.25343602
2/1/1974	86.41252553	72.26152091	91.9254084
3/1/1974	86.19477331	72.37779398	91.57283187
4/1/1974	85.99923793	72.550038	91.19542654
5/1/1974	85.81318489	72.54827558	90.79264346
6/1/1974	85.61508199	72.44882043	90.35874653
7/1/1974	85.34775985	72.28890577	89.88812918
8/1/1974	84.93799535	72.04628756	89.37850871
9/1/1974	84.34337604	71.76617473	88.83106893
10/1/1974	83.64025906	71.39747671	88.25165371
11/1/1974	82.78083822	70.97840891	87.64870577
12/1/1974	81.77668964	70.44035161	87.03411544
1/1/1975	80.83579643	69.91706668	86.42512185
2/1/1975	79.90572982	69.37997726	85.83874628
3/1/1975	79.07096241	68.86226044	85.29037044
4/1/1975	78.42677273	68.42954011	84.78806726
5/1/1975	77.88912886	68.141445	84.33206428
6/1/1975	77.42568156	68.15396987	83.9194518
7/1/1975	76.98946717	68.2927454	83.54690356
8/1/1975	76.61921333	68.57087351	83.20972404
9/1/1975	76.29583455	68.79892801	82.90775557
10/1/1975	76.06507374	69.04824865	82.64175452
11/1/1975	75.92925707	69.21543005	82.41140726
12/1/1975	75.8912945	69.43318052	82.21349561
1/1/1976	75.92141629	69.70936853	82.04066176
2/1/1976	75.94818542	69.94899106	81.88424071
3/1/1976	75.99855521	70.03835544	81.73909437
4/1/1976	75.94614688	70.08701054	81.60316262
5/1/1976	75.88033481	70.26787049	81.48153706
6/1/1976	75.80255429	70.42335138	81.3789581
7/1/1976	75.77488954	70.56622875	81.29764555
8/1/1976	75.78087471	70.66990549	81.237129
9/1/1976	75.79434942	70.74084925	81.19704576
10/1/1976	75.79260135	70.84208095	81.1797868
11/1/1976	75.84062099	71.04717165	81.18774755
12/1/1976	75.99863421	71.30786917	81.22270641
1/1/1977	76.1538542	71.54187771	81.28517418
2/1/1977	76.39967425	71.83080061	81.37431275
3/1/1977	76.67037247	72.19187142	81.48582659
4/1/1977	76.99985155	72.61967143	81.61688741
5/1/1977	77.35654679	72.9934763	81.76122159
6/1/1977	77.79071199	73.35253404	81.91478321
7/1/1977	78.18302324	73.64457908	82.07667114
8/1/1977	78.57300434	73.91206576	82.24917903
9/1/1977	78.92247022	74.2191374	82.43530824
10/1/1977	79.28653463	74.54059936	82.63852098
11/1/1977	79.67649421	74.93663551	82.85960885
12/1/1977	80.09901322	75.3508523	83.10184122
1/1/1978	80.49303406	75.73267359	83.36537739
2/1/1978	80.8889872	76.15213422	83.65064433
3/1/1978	81.3232519	76.63683532	83.95486921
4/1/1978	81.75280487	77.17107994	84.26938852
5/1/1978	82.18971317	77.5927008	84.58268351
6/1/1978	82.56801926	77.92174497	84.88843996
7/1/1978	82.97124682	78.260265	85.18388512
8/1/1978	83.34532934	78.50892153	85.4690226
9/1/1978	83.80312224	78.73709684	85.74042805
10/1/1978	84.23713388	78.93749955	85.99290993
11/1/1978	84.65303173	79.07668987	86.22451977
